#date,diff
2016/8/13 21:04:00,143
2016/8/13 21:04:30,178
2016/8/13 21:05:00,186
2016/8/13 21:05:30,137
2016/8/13 21:06:00,9
2016/8/13 21:06:30,12
2016/8/13 21:07:00,7
2016/8/13 21:07:30,14
2016/8/13 21:08:00,4
2016/8/13 21:08:30,1
2016/8/13 21:09:00,3
2016/8/13 21:09:30,2
2016/8/13 21:10:00,72
2016/8/13 21:10:30,145
2016/8/13 21:11:00,29
2016/8/13 21:11:30,67
2016/8/13 21:12:00,101
2016/8/13 21:12:30,128
2016/8/13 21:13:00,113
2016/8/13 21:13:30,158
2016/8/13 21:14:00,161
2016/8/13 21:14:30,143
2016/8/13 21:15:00,135
2016/8/13 21:15:30,133
2016/8/13 21:16:00,160
2016/8/13 21:16:30,160
2016/8/13 21:17:00,107
2016/8/13 21:17:30,133
2016/8/13 21:18:00,75
2016/8/13 21:18:30,102
2016/8/13 21:19:00,119
2016/8/13 21:19:30,170
2016/8/13 21:20:00,153
2016/8/13 21:20:30,132
2016/8/13 21:21:00,168
2016/8/13 21:21:30,181
2016/8/13 21:22:00,163
2016/8/13 21:22:30,161
2016/8/13 21:23:00,188
2016/8/13 21:23:30,169
2016/8/13 21:24:00,186
2016/8/13 21:24:30,163
2016/8/13 21:25:00,196
2016/8/13 21:25:30,171
2016/8/13 21:26:00,131
2016/8/13 21:26:30,167
2016/8/13 21:27:00,154
2016/8/13 21:27:30,140
2016/8/13 21:28:00,125
2016/8/13 21:28:30,159
2016/8/13 21:29:00,159
2016/8/13 21:29:30,183
2016/8/13 21:30:00,179
2016/8/13 21:30:30,156
2016/8/13 21:31:00,156
2016/8/13 21:31:30,158
2016/8/13 21:32:00,161
2016/8/13 21:32:30,117
2016/8/13 21:33:00,137
2016/8/13 21:33:30,149
2016/8/13 21:34:00,164
2016/8/13 21:34:30,196
2016/8/13 21:35:00,156
2016/8/13 21:35:30,176
2016/8/13 21:36:00,169
2016/8/13 21:36:30,154
2016/8/13 21:37:00,148
2016/8/13 21:37:30,142
2016/8/13 21:38:00,171
2016/8/13 21:38:30,160
2016/8/13 21:39:00,131
2016/8/13 21:39:30,57
2016/8/13 21:40:00,12
2016/8/13 21:40:30,12
2016/8/13 21:41:00,5
2016/8/13 21:41:30,5
2016/8/13 21:42:00,10
2016/8/13 21:42:30,7
2016/8/13 21:43:00,81
2016/8/13 21:43:30,132
2016/8/13 21:44:00,159
2016/8/13 21:44:30,177
2016/8/13 21:45:00,154
2016/8/13 21:45:30,140
2016/8/13 21:46:00,86
2016/8/13 21:46:30,83
2016/8/13 21:47:00,81
2016/8/13 21:47:30,112
2016/8/13 21:48:00,107
2016/8/13 21:48:30,128
2016/8/13 21:49:00,133
2016/8/13 21:49:30,110
2016/8/13 21:50:00,122
2016/8/13 21:50:30,138
2016/8/13 21:51:00,150
2016/8/13 21:51:30,162
2016/8/13 21:52:00,141
2016/8/13 21:52:30,149
2016/8/13 21:53:00,151
2016/8/13 21:53:30,90
2016/8/13 21:54:00,91
2016/8/13 21:54:30,90
2016/8/13 21:55:00,90
2016/8/13 21:55:30,110
2016/8/13 21:56:00,124
2016/8/13 21:56:30,146
2016/8/13 21:57:00,135
2016/8/13 21:57:30,171
2016/8/13 21:58:00,133
2016/8/13 21:58:30,159
2016/8/13 21:59:00,2
2016/8/13 22:00:00,138
2016/8/13 22:00:30,139
2016/8/13 22:01:00,180
2016/8/13 22:01:30,157
2016/8/13 22:02:00,177
2016/8/13 22:02:30,153
2016/8/13 22:03:00,181
2016/8/13 22:03:30,153
2016/8/13 22:04:00,144
2016/8/13 22:04:30,138
2016/8/13 22:05:00,174
2016/8/13 22:05:30,152
2016/8/13 22:06:00,134
2016/8/13 22:06:30,128
2016/8/13 22:07:00,133
2016/8/13 22:07:30,136
2016/8/13 22:08:00,112
2016/8/13 22:08:30,140
2016/8/13 22:09:00,143
2016/8/13 22:09:30,146
2016/8/13 22:10:00,131
2016/8/13 22:10:30,136
2016/8/13 22:11:00,140
2016/8/13 22:11:30,167
2016/8/13 22:12:00,146
2016/8/13 22:12:30,127
2016/8/13 22:13:00,151
2016/8/13 22:13:30,121
2016/8/13 22:14:00,89
2016/8/13 22:14:30,111
2016/8/13 22:15:00,105
2016/8/13 22:15:30,102
2016/8/13 22:16:00,99
2016/8/13 22:16:30,113
2016/8/13 22:17:00,107
2016/8/13 22:17:30,106
2016/8/13 22:18:00,115
2016/8/13 22:18:30,93
2016/8/13 22:19:00,103
2016/8/13 22:19:30,101
2016/8/13 22:20:00,93
2016/8/13 22:20:30,122
2016/8/13 22:21:00,114
2016/8/13 22:21:30,113
2016/8/13 22:22:00,101
2016/8/13 22:22:30,88
2016/8/13 22:23:00,107
2016/8/13 22:23:30,104
2016/8/13 22:24:00,76
2016/8/13 22:24:30,73
2016/8/13 22:25:00,85
2016/8/13 22:25:30,86
2016/8/13 22:26:00,85
2016/8/13 22:26:30,108
2016/8/13 22:27:00,97
2016/8/13 22:27:30,104
2016/8/13 22:28:00,112
2016/8/13 22:28:30,93
2016/8/13 22:29:00,61
2016/8/13 22:29:30,22
2016/8/13 22:30:00,12
2016/8/13 22:30:30,9
2016/8/13 22:31:00,7
2016/8/13 22:31:30,24
2016/8/13 22:32:00,67
2016/8/13 22:32:30,76
2016/8/13 22:33:00,77
2016/8/13 22:33:30,88
2016/8/13 22:34:00,91
2016/8/13 22:34:30,98
2016/8/13 22:35:00,88
2016/8/13 22:35:30,95
2016/8/13 22:36:00,83
2016/8/13 22:36:30,109
2016/8/13 22:37:00,123
2016/8/13 22:37:30,70
2016/8/13 22:38:00,66
2016/8/13 22:38:30,61
2016/8/13 22:39:00,29
2016/8/13 22:39:30,33
2016/8/13 22:40:00,18
2016/8/13 22:40:30,29
2016/8/13 22:41:00,50
2016/8/13 22:41:30,37
2016/8/13 22:42:00,34
2016/8/13 22:42:30,37
2016/8/13 22:43:00,34
2016/8/13 22:43:30,51
2016/8/13 22:44:00,31
2016/8/13 22:44:30,35
2016/8/13 22:45:00,37
2016/8/13 22:45:30,27
2016/8/13 22:46:00,37
2016/8/13 22:46:30,30
2016/8/13 22:47:00,30
2016/8/13 22:47:30,28
2016/8/13 22:48:00,25
2016/8/13 22:48:30,19
2016/8/13 22:49:00,20
2016/8/13 22:49:30,16
2016/8/13 22:50:00,42
2016/8/13 22:50:30,29
2016/8/13 22:51:00,13
2016/8/13 22:51:30,22
2016/8/13 22:52:00,21
